naga84
1
/mnt/raidc2/ywang/hackathon/testset/ff14SBonlysc/03.md/amber19_cuda
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000099328.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.162000
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000101376.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.779980
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000103424.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 11.405824
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000105472.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 11.605505
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000107520.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 12.108340
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000109568.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.601464
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000111616.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.649329
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000113664.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.430473
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10000115712.000000
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 6.179551
threadIdx.x : 0 , blockIdx.x: 2 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.329618
threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.991914
Note: The following floating-point exceptions are signalling: IEEE_INVALID_FLAG IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
